ID: 7664 | Name: asus_framework | BasePriority: 6
ID: 5652 | Name: explorer | BasePriority: 8
ID: 9376 | Name: svchost | BasePriority: 8
ID: 13744 | Name: svchost | BasePriority: 8
ID: 3304 | Name: SearchHost | BasePriority: 8
ID: 10796 | Name: StartMenuExperienceHost | BasePriority: 8
ID: 3508 | Name: RuntimeBroker | BasePriority: 8
ID: 3448 | Name: RuntimeBroker | BasePriority: 8
ID: 600 | Name: svchost | BasePriority: 8
ID: 13784 | Name: dllhost | BasePriority: 8
ID: 10356 | Name: YourPhone | BasePriority: 8
ID: 15932 | Name: ctfmon | BasePriority: 13
ID: 13536 | Name: LockApp | BasePriority: 8
ID: 10580 | Name: RuntimeBroker | BasePriority: 8
ID: 11368 | Name: svchost | BasePriority: 8
ID: 10140 | Name: asus_framework | BasePriority: 6
ID: 8236 | Name: RuntimeBroker | BasePriority: 8
ID: 16248 | Name: ArmourySwAgent | BasePriority: 6
ID: 8872 | Name: ArmouryCrate.UserSessionHelper | BasePriority: 8
ID: 9360 | Name: conhost | BasePriority: 8
ID: 7516 | Name: unsecapp | BasePriority: 8
ID: 6588 | Name: TextInputHost | BasePriority: 13
ID: 15516 | Name: vgtray | BasePriority: 8
ID: 1960 | Name: chrome | BasePriority: 8
ID: 2200 | Name: chrome | BasePriority: 8
ID: 15500 | Name: chrome | BasePriority: 10
ID: 9628 | Name: chrome | BasePriority: 8
ID: 14244 | Name: chrome | BasePriority: 8
ID: 1416 | Name: chrome | BasePriority: 8
ID: 13692 | Name: ShellExperienceHost | BasePriority: 8
ID: 7892 | Name: RuntimeBroker | BasePriority: 8
ID: 9300 | Name: SystemSettingsBroker | BasePriority: 8
ID: 15504 | Name: chrome | BasePriority: 4
ID: 10664 | Name: chrome | BasePriority: 4
ID: 9752 | Name: RtkAudUService64 | BasePriority: 6
ID: 10904 | Name: chrome | BasePriority: 4
ID: 1524 | Name: chrome | BasePriority: 8
ID: 10480 | Name: chrome | BasePriority: 4
ID: 11268 | Name: SystemSettings | BasePriority: 8
ID: 16184 | Name: ApplicationFrameHost | BasePriority: 8
ID: 16316 | Name: svchost | BasePriority: 8
ID: 7792 | Name: svchost | BasePriority: 8
ID: 4012 | Name: svchost | BasePriority: 8
ID: 6124 | Name: dasHost | BasePriority: 8
ID: 5808 | Name: devenv | BasePriority: 8
ID: 13176 | Name: PerfWatson2 | BasePriority: 8
ID: 2696 | Name: Microsoft.ServiceHub.Controller | BasePriority: 8
ID: 12060 | Name: ServiceHub.IdentityHost | BasePriority: 8
ID: 1528 | Name: ServiceHub.VSDetouredHost | BasePriority: 8
ID: 1948 | Name: ServiceHub.SettingsHost | BasePriority: 8
ID: 10688 | Name: ServiceHub.Host.CLR.x86 | BasePriority: 8
ID: 15204 | Name: svchost | BasePriority: 8
ID: 13684 | Name: ServiceHub.ThreadedWaitDialog | BasePriority: 8
ID: 9584 | Name: ServiceHub.RoslynCodeAnalysisService | BasePriority: 8
ID: 7256 | Name: svchost | BasePriority: 8
ID: 12560 | Name: ServiceHub.Host.CLR.x64 | BasePriority: 8
ID: 7356 | Name: ServiceHub.Host.CLR.x86 | BasePriority: 8
ID: 3468 | Name: chrome | BasePriority: 4
ID: 12652 | Name: MSBuild | BasePriority: 8
ID: 9000 | Name: conhost | BasePriority: 8
ID: 4944 | Name: VBCSCompiler | BasePriority: 8
ID: 3136 | Name: conhost | BasePriority: 8
ID: 15132 | Name: ServiceHub.DataWarehouseHost | BasePriority: 8
